id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
5521,M,1.5875,1.3,0.4125,35.777069,17.70426275,8.164656,9.4970825,11.0
5522,M,1.5,1.1375,0.425,31.6096925,11.7650425,7.41339425,10.3475675,15.0
5523,I,1.1,0.875,0.275,13.04077,5.14543425,2.8066005,3.33106625,7.0
5524,F,1.5125,1.175,0.3625,28.81726675,12.8423235,6.350288,7.5126175,10.0
5525,I,1.45,1.0875,0.3875,24.664065,10.19164525,4.3374735,7.087375,27.0
5526,I,1.1625,0.875,0.2625,12.5588285,5.386405,4.03980375,3.16096925,9.0
5527,I,1.2625,0.9625,0.3125,17.90270925,8.49067525,2.7499015,5.386405,8.0
5528,F,1.2625,1.0,0.35,20.25571775,5.71242425,4.60679375,6.23689,17.0
5529,F,1.3,1.0375,0.35,21.75824125,7.3992195,4.649318,7.654365,11.0
5530,I,0.85,0.65,0.225,5.08873525,2.211261,1.190679,1.5592225,8.0
5531,I,0.875,0.65,0.2,5.6699,2.45223175,1.70097,1.70097,6.0
5532,I,1.275,1.0,0.3125,18.07280625,8.731646,3.8838815,6.520385,13.0
5533,F,1.7,1.4,0.4125,47.116869,21.98503725,10.87203325,11.7083435,11.0
5534,I,0.9,0.675,0.225,6.30776375,2.6932025,1.06310625,1.984465,6.0
5535,M,1.5125,1.175,0.4125,31.99241075,11.94931425,6.4353365,8.94426725,13.0
5536,M,1.4375,1.1625,0.3875,28.76056775,13.65028425,5.556502,8.50485,10.0
5537,I,1.2625,1.0,0.35,18.24290325,8.46232575,3.9405805,5.2446575,8.0
5538,F,1.4875,1.175,0.3875,31.9498865,15.52135125,6.39281225,8.50485,8.0
5539,M,1.5125,1.1875,0.45,34.2178465,12.85649825,5.71242425,10.0640725,14.0
5540,F,1.1375,0.8375,0.2625,12.984071,6.0951425,2.7499015,3.5436875,7.0
5541,M,1.1875,0.9125,0.35,16.42853525,5.54232725,3.345241,5.386405,9.0
5542,M,1.4125,1.0875,0.375,22.92057075,9.39785925,4.3941725,6.0951425,10.0
5543,M,1.625,1.3125,0.4,39.02308675,16.03164225,8.731646,12.190285,18.0
5544,M,1.225,0.9875,0.3,15.83319575,6.05261825,3.18931875,4.819415,9.0
5545,F,1.4125,1.1,0.3375,23.7285315,11.736693,4.479221,7.37087,18.0
5546,I,0.825,0.6625,0.2125,5.1879585,2.14038725,1.06310625,1.70097,6.0
5547,F,1.375,1.0625,0.3125,18.24290325,8.164656,3.8838815,6.520385,10.0
5548,I,0.825,0.65,0.25,5.556502,2.3530085,1.020582,1.70097,7.0
5549,M,1.3375,1.1375,0.3625,24.11124975,8.3631025,4.7343665,7.83863675,15.0
5550,M,1.6125,1.2875,0.45,36.81182575,17.08057375,8.37727725,10.942907,11.0
5551,I,1.375,1.1125,0.35,21.829115,10.9712565,4.60679375,6.123492,8.0
5552,F,1.5625,1.25,0.4125,38.55532,18.86659225,8.49067525,9.7805775,10.0
5553,M,1.625,1.275,0.4,40.993377,16.5277585,9.6104805,11.3398,10.0
5554,F,1.675,1.3375,0.475,46.776675,20.7801835,10.77281,11.1980525,11.0
5555,M,1.5375,1.1875,0.4125,32.07745925,14.004653,6.98815175,8.6465975,9.0
5556,M,1.3375,1.0125,0.3625,22.89222125,9.76640275,5.40057975,7.087375,15.0
5557,M,1.075,0.85,0.2625,12.68640125,5.51397775,2.83495,3.685435,9.0
5558,M,1.6125,1.2875,0.4,35.19590425,14.67086625,8.68912175,8.9300925,12.0
5559,I,1.25,0.975,0.3125,15.87572,6.87475375,3.50116325,4.932813,7.0
5560,F,1.3375,1.0875,0.35,21.87163925,10.75863525,4.09650275,5.499803,10.0
5561,M,1.5125,1.1875,0.4375,38.612019,19.7596015,7.41339425,8.6465975,12.0
5562,M,1.375,1.15,0.3625,25.060958,9.922325,5.40057975,7.93786,12.0
5563,F,1.3375,1.05,0.4,24.7491135,10.432616,4.6776675,7.7961125,13.0
5564,M,1.575,1.2,0.425,38.42774725,14.07552675,8.51902475,9.63883,11.0
5565,M,1.4375,1.125,0.3625,24.79163775,12.60135275,5.48562825,6.4353365,9.0
5566,M,1.425,1.125,0.3875,26.01066625,10.77281,6.30776375,8.221355,10.0
5567,I,1.425,1.1,0.3625,26.138239,10.44679075,6.917278,7.7961125,12.0
5568,M,1.4125,1.1125,0.3375,22.75047375,9.922325,5.386405,7.5126175,11.0
5569,F,1.3375,1.0375,0.3375,18.46969925,7.41339425,4.706017,6.80388,9.0
5570,I,0.4,0.3,0.0625,0.5953395,0.21262125,0.12757275,0.1417475,4.0
5571,F,1.5875,1.25,0.475,36.0322145,17.5483405,8.51902475,11.056305,9.0
5572,I,0.6125,0.4625,0.1,2.608154,1.31825175,0.5953395,0.7087375,5.0
5573,I,1.2375,0.95,0.3125,14.855138,6.8889285,3.04757125,4.1673765,7.0
5574,F,1.225,0.9875,0.375,18.71067,7.92368525,4.6209685,6.56290925,12.0
5575,F,1.6375,1.4125,0.475,49.17220775,24.76328825,9.525432,13.834556,12.0
5576,M,1.6125,1.275,0.3875,32.4601775,15.60639975,6.8889285,8.3064035,10.0
5577,M,1.575,1.2625,0.45,43.6298805,19.46193175,9.3836845,11.72251825,12.0
5578,I,1.4625,1.0125,0.3375,24.9192105,13.4660125,4.592619,6.19436575,9.0
5579,M,1.5875,1.25,0.4625,32.7436725,12.813974,6.350288,10.20582,20.0
5580,I,1.475,1.0875,0.375,21.318824,9.25611175,4.932813,6.87475375,9.0
5581,F,1.5625,1.2625,0.425,36.85435,17.78931125,7.824462,8.3631025,11.0
5582,F,1.3375,1.0875,0.375,27.78251,13.19669225,5.03203625,6.80388,8.0
5583,M,1.325,1.0625,0.4125,23.0481435,9.31281075,5.71242425,7.37087,17.0
5584,I,0.9625,0.7,0.225,6.13766675,2.59397925,1.09145575,1.5592225,6.0
5585,M,1.55,1.1875,0.425,33.46658475,13.777857,7.41339425,9.4970825,9.0
5586,F,1.3,1.0625,0.35,22.226008,9.808927,4.35164825,7.7961125,10.0
5587,M,1.525,1.125,0.375,30.91512975,10.56018875,5.1879585,9.08601475,16.0
5588,M,1.4375,1.125,0.4375,27.9242575,13.721158,5.10291,8.77417025,18.0
5589,F,1.45,1.15,0.4,28.02348075,15.5071765,7.0023265,7.087375,9.0
5590,I,1.15,0.8875,0.3125,13.02659525,6.6054335,2.50893075,3.2601925,7.0
5591,I,0.425,0.2625,0.0875,0.41106775,0.1417475,0.1417475,0.09922325,3.0
5592,F,1.375,1.05,0.35,18.030282,8.34892775,4.5075705,5.953395,9.0
5593,F,1.6625,1.25,0.4625,39.27823225,17.95940825,8.85921875,10.0640725,9.0
5594,M,1.55,1.2125,0.35,28.576296,13.53688625,6.08096775,8.221355,9.0
5595,I,0.7375,0.5375,0.1875,3.40194,1.417475,0.83631025,1.13398,7.0
5596,I,1.1625,0.9375,0.2875,14.69921575,7.087375,2.4664065,4.252425,7.0
5597,F,1.3125,0.9375,0.3375,16.31513725,6.98815175,4.082328,4.9611625,9.0
5598,F,1.425,1.0625,0.375,24.28134675,10.2908685,5.10291,6.9456275,11.0
5599,F,1.5125,1.2125,0.4625,31.127751,9.82310175,6.76135575,8.50485,17.0
5600,F,1.7625,1.325,0.4375,44.22522,24.13959925,10.53183925,10.9145575,10.0
5601,F,1.45,1.1,0.375,25.21688025,9.85145125,4.86193925,10.56018875,17.0
5602,F,1.725,1.375,0.4875,50.61803225,23.926978,11.1413535,12.3320325,10.0
5603,I,1.525,1.2,0.425,32.6869735,15.97494325,8.12213175,8.3631025,9.0
5604,M,1.45,1.125,0.35,29.6819265,12.23280925,4.57844425,9.922325,18.0
5605,M,1.075,0.8125,0.2625,10.19164525,4.01145425,2.50893075,2.9766975,8.0
5606,F,1.6625,1.3125,0.425,44.06929775,20.68096025,10.970865,10.489315,10.0
5607,M,1.475,1.15,0.375,25.4295015,10.6310625,4.706017,7.2291225,10.0
5608,F,1.3,1.025,0.3125,18.75319425,8.63242275,4.46504625,5.613201,9.0
5609,F,1.675,1.3625,0.3875,44.395317,20.79435825,9.6104805,10.4042665,11.0
5610,F,1.8,1.4125,0.45,54.0624965,22.5378525,12.8423235,15.1669825,13.0
5611,F,1.6125,1.2125,0.425,42.2124055,17.349894,8.4198015,10.3475675,13.0
5612,F,1.5875,1.275,0.425,45.68521925,18.427175,7.9662095,12.03436275,14.0
5613,F,1.025,0.775,0.2875,10.375917,4.80524025,2.324659,3.40194,12.0
5614,F,1.2625,1.0,0.4,15.91824425,7.47009325,3.7137845,4.7343665,10.0
5615,M,1.5375,1.1875,0.4,31.581343,13.53688625,7.3425205,9.31281075,9.0
5616,I,0.9375,0.75,0.2375,7.72523875,3.572037,1.63009625,2.1262125,7.0
5617,M,1.3875,1.1125,0.375,24.67823975,11.5382465,5.93922025,7.2291225,9.0
5618,I,0.8875,0.7,0.25,6.08096775,2.19708625,1.31825175,2.1262125,9.0
5619,I,0.8125,0.625,0.225,4.03980375,1.5592225,0.92135875,1.13398,6.0
5620,M,1.6125,1.25,0.4375,37.0527965,18.01610725,6.7755305,8.9867915,9.0
5621,F,1.2125,0.975,0.275,19.43358225,8.15048125,3.72795925,5.10291,7.0
5622,M,1.15,0.875,0.3,13.02659525,6.123492,3.288542,3.685435,9.0
5623,I,1.3375,1.025,0.375,18.71067,7.66853975,4.025629,5.953395,9.0
5624,M,0.9375,0.75,0.2125,7.04485075,3.3168915,0.97805775,2.551455,6.0
5625,I,1.1,0.8375,0.2625,10.9145575,5.74077375,2.381358,2.891649,6.0
5626,M,0.9,0.675,0.225,6.0951425,2.83495,1.80019325,1.8427175,8.0
5627,I,1.05,0.825,0.2875,9.525432,4.37999775,2.4664065,2.9766975,8.0
5628,I,1.175,0.925,0.2875,12.9557215,5.10291,3.175144,3.8271825,9.0
5629,F,1.525,1.175,0.3875,26.18076325,11.396499,5.40057975,7.087375,8.0
5630,I,1.3125,0.95,0.325,18.75319425,8.5331995,4.53592,4.3941725,7.0
5631,F,1.2875,1.0125,0.325,19.447757,9.65300475,4.09650275,5.953395,9.0
5632,M,1.6875,1.3125,0.475,46.67745175,24.097075,10.0073735,11.3398,11.0
5633,M,1.75,1.375,0.5125,47.18774275,19.6462035,10.716111,13.04077,14.0
5634,F,1.2625,1.025,0.375,16.9813505,8.164656,4.3374735,4.7910655,7.0
5635,F,1.55,1.175,0.3875,30.5891105,14.0330025,6.2085405,8.3631025,9.0
5636,F,1.4375,1.125,0.375,26.46425825,10.5176645,5.2446575,7.5126175,18.0
5637,I,0.9375,0.7,0.25,6.59125875,2.83495,1.4458245,1.587572,7.0
5638,M,1.7375,1.3875,0.5375,56.9541455,18.75319425,8.7032965,16.0174675,14.0
5639,F,1.25,0.9625,0.3375,15.87572,4.9611625,3.7704835,5.20213325,15.0
5640,I,0.5875,0.4375,0.1,1.31825175,0.7087375,0.41106775,0.510291,4.0
5641,M,1.3125,1.0,0.275,18.540573,8.34892775,3.7704835,4.819415,9.0
5642,F,1.175,0.9375,0.275,13.08329425,5.03203625,2.8066005,4.3941725,8.0
5643,F,1.525,1.2125,0.45,39.405805,16.4143605,9.9506745,9.7805775,12.0
5644,I,0.7125,0.525,0.175,2.8632995,1.1056305,0.60951425,0.9922325,5.0
5645,I,1.5625,1.25,0.4875,38.55532,16.045817,9.53960675,12.31785775,13.0
5646,M,1.675,1.3875,0.475,47.0318205,21.21960075,11.566596,15.4504775,12.0
5647,M,1.4125,1.1125,0.3875,27.68328675,10.04989775,6.10931725,8.50485,11.0
5648,I,1.1125,0.8625,0.3,13.4660125,6.7755305,3.005047,3.2601925,6.0
5649,I,1.375,1.075,0.3125,20.93610575,8.34892775,4.1106775,6.066793,8.0
5650,M,1.5125,1.175,0.4125,32.21920675,12.82814875,6.973977,11.90679,20.0
5651,F,1.5375,1.2875,0.375,32.1199835,12.94154675,6.90310325,8.63242275,11.0
5652,F,1.5,1.1375,0.375,30.43318825,14.855138,7.81028725,7.1724235,9.0
5653,F,1.125,0.825,0.3125,12.4454305,5.5281525,2.9199985,3.118445,8.0
5654,F,1.4125,1.1,0.3625,24.607366,11.0846545,4.40834725,6.520385,8.0
5655,I,0.65,0.5,0.175,2.96252275,1.1623295,0.52446575,0.850485,5.0
5656,M,1.3875,1.0875,0.35,27.612413,10.2341695,5.839997,8.0796075,13.0
5657,F,1.2,0.9375,0.3125,16.42853525,6.350288,4.6776675,4.53592,9.0
5658,M,1.325,1.025,0.4125,21.38969775,8.37727725,5.386405,6.9456275,12.0
5659,I,0.775,0.5625,0.2,3.6003865,1.360776,0.75126175,1.13398,5.0
5660,M,1.45,1.225,0.4,31.18445,12.757275,5.88252125,10.3475675,14.0
5661,I,1.25,0.9625,0.3375,18.6256215,8.561549,3.175144,5.5281525,15.0
5662,F,1.325,1.0625,0.325,20.05727125,9.05766525,5.3013565,5.2446575,8.0
5663,F,1.55,1.2125,0.3875,35.777069,15.35125425,7.8528115,10.489315,12.0
5664,M,1.475,1.15,0.4,27.37144225,12.813974,5.216308,8.164656,10.0
5665,M,1.4375,1.1,0.3875,25.16018125,9.82310175,6.3219385,9.922325,15.0
5666,F,1.25,0.9625,0.325,16.51358375,7.10154975,4.5642695,4.762716,8.0
5667,I,0.6,0.4375,0.1625,2.041164,0.793786,0.396893,0.56699,6.0
5668,F,1.15,0.8375,0.35,13.0124205,5.74077375,3.47281375,4.1106775,8.0
5669,I,1.2875,1.0,0.3375,19.23513575,9.05766525,5.2446575,5.386405,10.0
5670,F,1.5125,1.1375,0.3875,31.14192575,15.43630275,6.3786375,8.3631025,9.0
5671,F,1.1875,0.9,0.3,13.947954,5.34388075,2.9199985,4.43669675,9.0
5672,I,0.8125,0.625,0.1875,4.80524025,2.721552,0.92135875,1.247378,7.0
5673,M,1.7125,1.3,0.45,42.28327925,20.68096025,9.695529,12.8990225,13.0
5674,M,1.3125,1.0125,0.3625,22.1409595,11.4248485,4.4508715,5.2446575,8.0
5675,F,1.6,1.2625,0.45,33.46658475,14.84096325,7.540967,10.20582,12.0
5676,F,1.55,1.2125,0.3375,31.56716825,15.762322,7.24329725,8.3631025,11.0
5677,I,0.7875,0.575,0.1875,3.64291075,1.5025235,0.86465975,1.13398,6.0
5678,F,1.5625,1.2,0.4875,33.40988575,14.7133905,6.64795775,11.90679,23.0
5679,M,1.525,1.1625,0.325,30.43318825,13.5794105,6.76135575,7.93786,10.0
5680,I,0.475,0.325,0.075,0.83631025,0.3118445,0.1242425,0.283495,6.0
5681,F,1.55,1.1875,0.425,37.77570875,16.68368075,7.32834575,9.07184,10.0
5682,M,1.6,1.275,0.475,33.8209535,14.288148,9.11436425,9.355335,10.0
5683,F,1.625,1.3,0.475,38.93803825,17.349894,8.391452,11.623295,10.0
5684,F,1.3,0.95,0.2875,17.4349425,8.12213175,3.75630875,4.12485225,9.0
5685,I,0.5125,0.375,0.0875,1.304077,0.43941725,0.12757275,0.1417475,5.0
5686,I,0.8375,0.6,0.225,5.31553125,2.211261,1.28990225,1.6726205,8.0
5687,M,1.475,1.1875,0.4125,28.3495,13.05494475,6.917278,7.7961125,9.0
5688,I,1.2125,0.975,0.325,14.92601175,5.59902625,2.8066005,4.3941725,7.0
5689,M,0.95,0.6875,0.25,10.33339275,4.52174525,1.8427175,2.1829115,8.0
5690,I,0.4,0.3,0.1,0.5953395,0.21262125,0.12757275,0.21262125,4.0
5691,F,1.5,1.2125,0.4375,34.6147395,14.4298955,8.6260155,10.20582,9.0
5692,I,0.525,0.325,0.1375,1.34660125,0.5953395,0.25097075,0.3685435,4.0
5693,F,1.4625,1.125,0.375,24.13959925,10.489315,5.9250455,8.50485,9.0
5694,M,1.5125,1.2125,0.35,27.0170735,12.40290625,6.64795775,6.80388,9.0
5695,M,1.1875,0.9375,0.325,16.51358375,6.76135575,3.86970675,5.10291,14.0
5696,I,1.05,0.8125,0.2625,9.73805325,4.29494925,2.381358,2.9766975,9.0
5697,I,1.425,1.1125,0.3875,27.68328675,13.87708025,4.7343665,7.087375,8.0
5698,I,1.2625,0.9625,0.3125,16.71203025,6.73300625,3.061746,4.7343665,9.0
5699,M,1.475,1.175,0.3875,25.51455,11.8784405,6.95980225,7.824462,11.0
5700,M,1.1875,0.875,0.2875,13.31009025,5.499803,2.8066005,4.9611625,15.0
5701,F,1.575,1.2375,0.4125,32.16250775,14.92601175,7.087375,8.6465975,11.0
5702,M,1.1,0.8375,0.2625,11.963489,4.9611625,3.0900955,3.8271825,12.0
5703,F,1.6,1.3,0.4,37.57726225,15.592225,7.540967,10.4042665,11.0
5704,M,1.6,1.2625,0.475,34.79901125,13.3526145,7.767763,10.20582,16.0
5705,M,1.45,1.175,0.375,23.51591025,10.41844125,4.40834725,6.747181,9.0
5706,M,1.7875,1.4125,0.5,64.16909325,29.48348,11.623295,18.2287285,11.0
5707,M,1.3,1.0,0.35,22.1976585,10.77281,5.896696,4.12485225,8.0
5708,I,1.1875,0.9125,0.2125,13.834556,6.70465675,2.5231055,3.21766825,7.0
5709,I,0.7625,0.5625,0.225,5.31553125,2.28213475,1.14815475,1.2757275,6.0
5710,M,1.6625,1.2625,0.475,46.13881125,23.43086175,10.78698475,10.77281,14.0
5711,I,1.0125,0.8125,0.3125,10.9712565,4.37999775,1.984465,3.118445,7.0
5712,I,1.0,0.8125,0.25,8.66077225,3.4869885,1.70097,2.83495,7.0
5713,F,1.4875,1.1875,0.375,26.1098895,10.39009175,6.13766675,7.7961125,9.0
5714,I,1.075,0.8125,0.25,8.9300925,3.40194,2.097863,2.5798045,9.0
5715,M,1.3,0.975,0.3125,16.782904,6.84640425,3.5436875,4.9611625,9.0
5716,M,1.5875,1.2875,0.4,38.20095125,16.329312,8.2497045,10.70193625,11.0
5717,I,0.4,0.3125,0.2125,0.5953395,0.21262125,0.12757275,0.226796,5.0
5718,I,0.925,0.7,0.2375,6.30776375,2.28213475,1.6159215,2.1262125,7.0
5719,I,0.825,0.7,0.2375,6.3219385,2.70737725,1.63009625,2.1262125,7.0
5720,F,1.0375,0.8125,0.25,9.0434905,4.8477645,2.324659,2.6932025,7.0
5721,M,1.625,1.25,0.375,35.84794275,15.025235,8.9300925,9.07184,11.0
5722,I,0.675,0.4875,0.125,2.67902775,1.1056305,0.793786,0.56699,6.0
5723,F,1.3625,1.0,0.325,19.80212575,9.05766525,3.7704835,4.819415,7.0
5724,M,1.375,1.0375,0.425,28.33532525,8.561549,6.7755305,9.07184,14.0
5725,I,0.9625,0.7,0.2375,7.6260155,3.1467945,1.51669825,1.71514475,6.0
5726,F,1.375,1.0875,0.3625,20.53921275,9.865626,4.52174525,5.03203625,8.0
5727,F,1.4375,1.125,0.3625,26.932025,13.48018725,5.953395,6.23689,11.0
5728,I,1.1875,0.9125,0.3125,15.4504775,7.3992195,3.35941575,3.8271825,7.0
5729,F,1.7,1.3125,0.45,33.89182725,12.28950825,9.65300475,10.489315,10.0
5730,F,1.425,1.025,0.3125,20.93610575,10.78698475,4.40834725,7.087375,9.0
5731,F,1.6125,1.275,0.375,32.13415825,14.5432935,6.42116175,9.2135875,9.0
5732,F,1.3,0.9375,0.2875,17.19397175,7.01650125,3.231843,4.819415,12.0
5733,F,1.3125,1.0375,0.425,21.36134825,8.3631025,4.8477645,6.87475375,15.0
5734,M,1.1,0.85,0.25,11.169703,4.9044635,2.4097075,3.38776525,7.0
5735,I,1.0125,0.7875,0.275,9.19941275,3.742134,2.324659,2.4097075,6.0
5736,F,1.5375,1.1875,0.3625,28.02348075,13.9196045,5.1879585,7.93786,9.0
5737,I,1.1625,0.925,0.3625,15.6205745,6.50621025,3.3735905,5.2446575,11.0
5738,F,1.3625,1.1,0.35,21.72989175,6.917278,4.1673765,7.37087,14.0
5739,I,0.9375,0.6625,0.2125,6.633783,3.41611475,1.54504775,1.984465,6.0
5740,F,1.5625,1.125,0.425,28.462898,11.1413535,6.860579,6.23689,23.0
5741,M,1.5875,1.3125,0.475,39.405805,17.08057375,7.1724235,13.324265,12.0
5742,F,1.4375,1.175,0.3875,24.777463,9.62465525,5.6699,7.711064,10.0
5743,M,1.5875,1.2375,0.475,39.859397,16.4143605,7.2858215,11.12717875,11.0
5744,I,1.125,0.875,0.275,12.530479,5.11708475,2.25378525,3.96893,8.0
5745,M,1.325,1.0375,0.3875,20.921931,8.94426725,5.37223025,7.38504475,10.0
5746,F,1.525,1.075,0.4,28.179403,13.73533275,7.41339425,7.824462,11.0
5747,I,1.2375,0.9875,0.4125,21.58814425,9.8372765,3.27436725,4.819415,14.0
5748,I,1.175,0.9,0.275,15.5071765,6.13766675,3.24601775,3.96893,8.0
5749,M,1.475,1.1375,0.4125,30.51823675,13.42348825,6.13766675,7.654365,8.0
5750,F,1.5875,1.225,0.45,32.0065855,13.50853675,8.5898985,9.4970825,10.0
5751,F,1.4625,1.125,0.375,28.02348075,13.380964,5.99591925,9.2702865,11.0
5752,I,1.3,0.975,0.3375,16.9813505,8.63242275,3.86970675,4.3941725,8.0
5753,M,1.425,1.1125,0.4,26.01066625,11.01378075,6.22271525,7.37087,9.0
5754,M,1.7375,1.375,0.4875,54.5727875,25.27357925,11.5382465,14.38737125,10.0
5755,M,1.55,1.2625,0.3875,36.85435,17.3215445,7.6827145,10.092422,10.0
5756,M,1.4125,1.1125,0.3875,24.5223175,8.97261675,5.8683465,8.50485,8.0
5757,F,1.45,1.075,0.3375,24.777463,10.432616,5.5848515,6.747181,10.0
5758,F,1.3125,1.025,0.3375,18.12950525,6.860579,4.32329875,5.2446575,13.0
5759,I,1.6375,1.325,0.5375,42.51007525,16.8112535,11.566596,12.2186345,14.0
5760,I,1.25,0.9375,0.3375,15.77649675,6.59125875,3.58621175,4.35164825,10.0
5761,F,1.4,1.0375,0.4,23.700182,9.979024,5.54232725,7.37087,12.0
5762,I,1.3,1.05,0.3625,18.01610725,7.10154975,4.60679375,5.5281525,9.0
5763,M,1.125,0.875,0.3,13.1825175,5.40057975,2.76407625,3.55786225,8.0
5764,F,1.6375,1.25,0.425,40.1145425,16.3576615,6.9456275,10.0640725,14.0
5765,I,1.125,0.875,0.3,12.984071,5.953395,2.96252275,3.8271825,8.0
5766,M,1.6625,1.3125,0.4625,40.029494,18.01610725,9.07184,10.3475675,11.0
5767,M,1.4875,1.1625,0.3625,29.95124675,12.48795475,6.76135575,8.788345,12.0
5768,F,1.6375,1.2125,0.3875,39.63163475,17.56251525,6.577084,8.50485,11.0
5769,I,0.85,0.6375,0.2125,5.06038575,2.154562,1.34660125,1.5592225,6.0
5770,M,1.7125,1.3125,0.475,45.8978405,20.241543,10.44679075,11.1980525,10.0
5771,F,1.2875,0.9625,0.35,20.97863,7.9662095,4.06815325,4.762716,10.0
5772,M,1.6125,1.2125,0.375,34.8415355,16.62698175,8.3064035,9.63883,9.0
5773,F,1.025,0.775,0.2375,10.2341695,4.55009475,2.42388225,2.50893075,9.0
5774,I,1.2125,0.925,0.25,15.2803805,7.98038425,2.73572675,4.025629,7.0
5775,M,0.5125,0.375,0.0875,1.48834875,0.69456275,0.15592225,0.43941725,1.0
5776,M,1.5125,1.1375,0.375,30.71668325,14.004653,6.10931725,8.9300925,8.0
5777,F,1.3625,1.0,0.35,23.88445375,15.1102835,4.7910655,5.726599,9.0
5778,M,1.3625,1.0875,0.325,20.28406725,7.55514175,4.422522,6.3786375,12.0
5779,I,1.275,0.9875,0.3625,14.44407025,5.85417175,3.72795925,4.706017,8.0
5780,I,0.8875,0.75,0.225,7.427569,3.50116325,1.587572,2.05533875,7.0
5781,I,0.9625,0.7,0.2,7.1157245,3.1467945,1.0489315,1.74349425,7.0
5782,M,1.5625,1.2,0.4125,33.46658475,16.499409,7.6827145,8.845044,9.0
5783,I,1.025,0.75,0.225,8.15048125,3.118445,1.85689225,2.4097075,8.0
5784,F,1.725,1.3375,0.55,47.230267,21.262125,13.380964,13.60776,12.0
5785,I,1.025,0.775,0.25,8.30873675,3.96893,2.25378525,2.551455,7.0
5786,I,0.9875,0.75,0.2375,8.674947,4.74854125,1.77184375,2.551455,8.0
5787,M,1.4875,1.2,0.4,28.17299575,13.79203175,5.42892925,8.50485,10.0
5788,M,1.1625,0.925,0.35,15.49300175,6.56290925,2.96252275,5.443104,10.0
5789,I,0.725,0.525,0.175,3.16096925,1.1623295,0.623689,0.97805775,6.0
5790,M,1.6375,1.3125,0.475,36.3724085,15.80484625,7.01650125,11.4815475,11.0
5791,F,1.55,1.2125,0.375,32.72949775,16.42853525,7.030676,8.6465975,12.0
5792,I,1.25,0.9375,0.3,15.2236815,6.293589,3.8838815,4.60679375,8.0
5793,F,1.65,1.2625,0.525,43.02036625,19.6462035,8.80251975,11.49572225,11.0
5794,I,0.5875,0.4375,0.15,1.45999925,0.623689,0.510291,0.7087375,6.0
5795,I,0.6875,0.5125,0.175,3.67126025,1.644271,0.80796075,0.9922325,7.0
5796,I,1.0875,0.8125,0.3,11.01378075,4.309124,3.061746,3.40194,7.0
5797,I,1.0625,0.7875,0.2375,10.262519,4.97533725,2.33883375,2.76407625,7.0
5798,F,0.7375,0.5375,0.225,3.6003865,1.360776,1.11980525,1.13398,6.0
5799,M,1.5625,1.2125,0.4375,33.40988575,14.84096325,7.01650125,9.4970825,9.0
5800,F,1.175,0.925,0.2625,14.47241975,5.896696,2.73572675,4.6776675,11.0
5801,F,1.5625,1.2,0.4125,38.79629075,16.48523425,8.43397625,11.7650425,11.0
5802,M,0.875,0.65,0.25,6.95980225,2.26796,1.51669825,1.984465,9.0
5803,M,1.8,1.4625,0.5125,59.68987225,26.705229,12.88484775,17.0097,10.0
5804,M,1.3625,1.125,0.3375,24.5790165,8.051258,5.1312595,8.9300925,13.0
5805,M,1.5125,1.1875,0.5,33.40988575,14.67086625,8.83086925,8.9300925,9.0
5806,I,1.275,0.925,0.3125,16.62698175,7.1157245,3.33106625,5.2446575,9.0
5807,F,1.6125,1.225,0.4375,34.0194,15.46465225,7.41339425,8.788345,9.0
5808,I,1.5625,1.175,0.3625,28.462898,13.19669225,5.74077375,7.0590255,10.0
5809,F,1.7875,1.4,0.5125,44.06929775,20.97863,9.51125725,12.3320325,11.0
5810,I,1.2875,0.9875,0.3125,17.236496,8.54737425,3.98310475,4.252425,9.0
5811,I,1.1,0.85,0.275,12.34620725,5.71242425,2.4097075,3.38776525,8.0
5812,M,1.5375,1.175,0.3875,28.98736375,12.11941125,5.8683465,7.654365,10.0
5813,M,1.45,1.1375,0.4125,32.772022,9.8372765,6.78970525,8.9300925,17.0
5814,M,1.5375,1.1875,0.45,34.06192425,15.37960375,8.34892775,8.221355,10.0
5815,F,1.6125,1.275,0.4625,36.5425055,14.35902175,8.391452,9.525432,10.0
5816,M,1.225,0.95,0.2875,15.5638755,7.9095105,3.13261975,3.78465825,10.0
5817,I,0.6875,0.5,0.175,2.721552,1.0489315,0.63786375,0.850485,5.0
5818,M,1.25,0.975,0.2875,16.91047675,8.12213175,4.195726,4.26659975,9.0
5819,F,1.35,1.0375,0.3375,26.23746225,10.61688775,6.78970525,8.0796075,9.0
5820,M,1.5375,1.225,0.425,35.98969025,13.70698325,7.3425205,10.20582,15.0
5821,F,1.625,1.2375,0.4375,38.13648475,15.46465225,9.241937,10.0640725,6.0
5822,I,0.8625,0.675,0.225,5.5848515,2.1829115,1.03475675,1.8427175,6.0
5823,F,1.4125,1.075,0.4375,26.43590875,11.35397475,5.4714535,8.15048125,9.0
5824,M,1.55,1.2125,0.3625,28.05183025,12.417081,7.144074,7.7961125,9.0
5825,M,1.55,1.2,0.3875,37.874932,18.18620425,7.64019025,8.0796075,12.0
5826,F,1.5,1.2,0.4375,29.97959625,12.31785775,6.7188315,8.9300925,12.0
5827,I,0.775,0.6125,0.225,4.32329875,2.211261,1.417475,1.417475,6.0
5828,I,1.15,0.8875,0.3125,13.96212875,5.62737575,3.04757125,3.92640575,7.0
